District,close,far,population,inaccuracy
Bertoua,131637.38794193603,21380.83555788081,153018.22349981684,0
Betare Oya,110735.16313612089,65183.456472689286,175917.3211700525,-1.2984387576580048
Kette,35632.758692672476,2738.1665083486587,38370.925201021135,0
Garoua Boulai,62434.94651525095,19232.074670825154,81667.0211860761,0
Doume,39691.723315591924,2062.859859828837,41754.58317542076,0
Nguelemendouka,25219.10259308014,360.0652535809204,25579.16784666106,0
Batouri,68528.72088944912,7414.903110453859,75899.47220809199,-44.15179181098938
Mbang,40089.75672234967,8061.93599617295,48151.69271852262,0
Ndelele,67394.6721603265,4238.0244521917775,71632.69661251828,0
Yokadouma,43559.914228878915,32904.8645900134,76464.77881889232,0
Moloundou,36643.64689443633,35298.5130663896,71942.15996082593,0
Abong Mbang,53139.67631276231,10608.848219351843,63748.524532114156,0
Messamena,35385.78908614535,17019.075264118612,50556.937074732035,-1847.9272755319253
Zoetele,42856.4691840224,0,42856.4691840224,0
Meyomessala,70523.03781732358,4029.6578995920718,74552.69571691565,0
Lolodorf,89221.1842556633,236.4752288609743,89457.65948452428,0
Kribi,165991.4976451248,40171.35418764874,206002.6279476583,-160.22388511523604
Ambam,93180.6794248186,5182.203329129145,98362.88275394775,0
Olamze,14483.94948777929,1521.5174274519086,16005.466915231198,0
Djoum,47513.322087373585,39093.49435405061,86606.81644142419,0
Sangmelima,78116.8496274706,3392.2956598438323,81475.27123561315,-33.874051701277494
Mvangan,58271.96284538321,2424.740876056254,60673.2308711987,-23.472850240767002
Akwaya,21040.437709007412,7643.0343423597515,28683.472051367164,0
Eyumojock,42413.504985477775,3029.711393808946,45443.21637928672,0
Bakassi,12488.623774394393,1676.5447300188243,14165.168504413217,0
Mundemba,42351.44686596468,8473.607958231121,50825.0548241958,0
Fontem,77493.18985903263,0,77493.18985903263,0
Mamfe,112422.25199910998,8720.769505415112,121143.0215045251,0
Wabane,61323.7082304433,0,61323.7082304433,0
Mbonge,171971.94310282543,3720.6154519319534,175692.5585547574,0
Kumba,217409.534420833,89.885203063488,217499.41962389648,0
Bangem,18723.560164488852,0,18723.560164488852,0
Tombel,62069.03339901939,47.02168679237366,62116.055085811764,0
Konye,108950.9869992286,0,108950.9869992286,0
Ekondo Titi,49015.450954057276,1837.3544620387256,50852.805416096,0
Muyuka,158233.4791958928,0,158233.4791958928,0
Buea,176881.93231385946,1918.99644652009,178800.92876037955,0
Limbe,161570.60703858733,0,161570.60703858733,0
Tiko,283397.6956909895,0,283397.6956909895,0
Malantouen,143455.7967291698,429.7487116456032,143885.5454408154,0
Bangourain,80822.5850834176,0,80822.5850834176,0
Foumban,141073.5642367825,0,141073.5642367825,0
Galim,128910.08733192086,0,128910.08733192086,0
Kouoptamo,91603.79085451365,0,91603.79085451365,0
Foumbot,104285.24060880393,16.7181586176157,104301.95876742154,0
Massangam,70505.85263284296,2915.2037914339453,73421.0564242769,0
Bangangte,107828.46467711218,83.65340125188231,107912.11807836406,0
Mbouda,170895.0370851755,0,170895.0370851755,0
Santchou,58548.806559830904,0,58548.806559830904,0
Kekem,49532.22327578068,0,49532.22327578068,0
Batcham,78779.94393539429,0,78779.94393539429,0
Penka Michel,80942.42310386896,0,80942.42310386896,0
Dschang,183197.0889968276,0,183197.0889968276,0
Bafang,50652.36835881695,0,50652.36835881695,0
Bandja,36748.926603496075,0,36748.926603496075,0
Baham,46198.098066449165,0,46198.098066449165,0
Mifi,392016.6456506252,0,392016.6456506252,0
Bamendjou,30928.50591111183,0,30928.50591111183,0
